ZIP,NUM_OF_EVS,NUM_OF_CHARGERS,EV_CHARGER_RATIO
50368,14.0,0.0,inf
50380,14.0,0.0,inf
50391,14.0,0.0,inf
50392,14.0,0.0,inf
50395,14.0,0.0,inf
50398,14.0,0.0,inf
50947,14.0,0.0,inf
51502,14.0,0.0,inf
52805,14.0,0.0,inf
52808,14.0,0.0,inf
52809,14.0,0.0,inf
50011,14.0,2.0,7.0
50012,0.0,0.0,
50013,14.0,0.0,inf
50831,14.0,0.0,inf
50145,14.0,0.0,inf
50241,14.0,0.0,inf
50165,0.0,0.0,
52149,14.0,0.0,inf
51015,14.0,0.0,inf
51101,0.0,1.0,0.0
51102,14.0,0.0,inf
51111,40.0,1.0,40.0
50101,14.0,0.0,inf
66742,14.0,0.0,inf
66758,7.0,0.0,inf
66014,14.0,0.0,inf
66091,8.0,0.0,inf
67061,0.0,0.0,
67143,13.0,0.0,inf
66746,13.0,0.0,inf
67012,14.0,0.0,inf
66843,14.0,0.0,inf
67334,0.0,0.0,
67355,0.0,0.0,
66728,12.0,0.0,inf
66778,14.0,0.0,inf
67840,14.0,0.0,inf
67155,14.0,0.0,inf
67102,14.0,0.0,inf
66760,14.0,0.0,inf
66045,0.0,0.0,
67122,14.0,0.0,inf
67627,14.0,0.0,inf
67674,13.0,0.0,inf
67868,14.0,0.0,inf
67843,0.0,0.0,
66855,14.0,0.0,inf
66863,14.0,0.0,inf
66870,13.0,0.0,inf
67018,0.0,0.0,
67150,11.0,0.0,inf
66031,0.0,11.0,0.0
66051,14.0,0.0,inf
66063,14.0,0.0,inf
66201,14.0,0.0,inf
66225,14.0,0.0,inf
66250,14.0,0.0,inf
66251,14.0,14.0,1.0
66276,14.0,0.0,inf
66282,14.0,0.0,inf
66283,14.0,0.0,inf
66285,14.0,0.0,inf
66286,14.0,0.0,inf
66830,0.0,0.0,
67476,14.0,0.0,inf
66412,0.0,0.0,
66036,14.0,0.0,inf
67478,13.0,0.0,inf
67363,14.0,0.0,inf
66522,10.0,0.0,inf
67515,12.0,0.0,inf
67521,14.0,0.0,inf
67629,0.0,0.0,
67675,0.0,0.0,
67628,14.0,0.0,inf
67585,14.0,0.0,inf
66960,0.0,0.0,
66961,14.0,0.0,inf
66505,14.0,0.0,inf
66506,0.0,0.0,
67559,0.0,0.0,
67402,14.0,0.0,inf
67055,14.0,0.0,inf
67201,14.0,0.0,inf
67221,14.0,0.0,inf
67260,14.0,0.0,inf
67275,14.0,0.0,inf
67276,14.0,0.0,inf
67277,14.0,0.0,inf
67278,14.0,0.0,inf
66420,14.0,0.0,inf
66601,14.0,0.0,inf
66620,14.0,0.0,inf
66621,0.0,0.0,
66622,14.0,0.0,inf
66624,14.0,0.0,inf
66625,14.0,0.0,inf
66626,14.0,0.0,inf
66629,14.0,0.0,inf
66636,14.0,0.0,inf
66647,14.0,0.0,inf
66667,14.0,0.0,inf
66683,14.0,0.0,inf
66699,14.0,0.0,inf
67862,0.0,0.0,
67105,4.0,0.0,inf
67656,14.0,0.0,inf
66944,13.0,0.0,inf
66714,0.0,0.0,
66777,0.0,0.0,
66115,14.0,0.0,inf
66117,14.0,0.0,inf
66118,14.0,0.0,inf
66119,14.0,0.0,inf
66160,14.0,0.0,inf
42720,14.0,0.0,inf
42742,14.0,0.0,inf
42153,0.0,0.0,
42060,14.0,0.0,inf
42130,0.0,0.0,
42131,14.0,0.0,inf
42152,14.0,0.0,inf
40334,14.0,0.0,inf
40902,0.0,0.0,
40930,14.0,0.0,inf
40939,11.0,0.0,inf
40955,14.0,0.0,inf
40958,9.0,0.0,inf
40988,0.0,0.0,
41022,14.0,0.0,inf
41025,14.0,0.0,inf
45275,14.0,0.0,inf
40357,14.0,0.0,inf
41105,14.0,0.0,inf
40452,14.0,0.0,inf
41061,14.0,0.0,inf
41310,14.0,0.0,inf
41317,14.0,0.0,inf
41348,0.0,0.0,
41364,14.0,0.0,inf
41366,14.0,0.0,inf
41390,14.0,0.0,inf
41745,12.0,0.0,inf
40153,14.0,0.0,inf
40161,12.0,0.0,inf
40110,14.0,1.0,14.0
40129,14.0,0.0,inf
40166,14.0,0.0,inf
42201,14.0,0.0,inf
42219,14.0,0.0,inf
42252,14.0,0.0,inf
42288,14.0,0.0,inf
41072,14.0,0.0,inf
41099,0.0,1.0,0.0
41142,14.0,0.0,inf
41146,12.0,0.0,inf
41173,14.0,0.0,inf
41181,14.0,0.0,inf
42516,11.0,0.0,inf
42541,0.0,0.0,
42241,14.0,0.0,inf
42453,0.0,0.0,
40392,14.0,0.0,inf
40932,14.0,0.0,inf
40941,0.0,0.0,
40944,14.0,0.0,inf
40951,14.0,0.0,inf
42603,14.0,0.0,inf
42033,14.0,0.0,inf
42037,14.0,0.0,inf
42759,14.0,0.0,inf
42302,14.0,0.0,inf
42304,14.0,0.0,inf
42356,0.0,0.0,
42377,14.0,0.0,inf
42163,0.0,0.0,
40506,0.0,0.0,
40512,14.0,0.0,inf
40522,14.0,0.0,inf
40523,14.0,0.0,inf
40524,14.0,0.0,inf
40526,14.0,0.0,inf
40533,14.0,0.0,inf
40536,14.0,0.0,inf
40544,14.0,0.0,inf
40555,14.0,0.0,inf
40574,14.0,0.0,inf
40575,14.0,0.0,inf
40576,14.0,0.0,inf
40577,14.0,0.0,inf
40578,14.0,0.0,inf
40579,14.0,0.0,inf
40580,14.0,0.0,inf
40581,14.0,0.0,inf
40582,14.0,0.0,inf
40583,14.0,0.0,inf
40588,14.0,0.0,inf
40591,14.0,0.0,inf
41037,14.0,0.0,inf
41065,14.0,0.0,inf
41081,14.0,0.0,inf
41606,0.0,0.0,
41607,0.0,0.0,
41612,14.0,0.0,inf
41643,14.0,0.0,inf
41651,14.0,0.0,inf
41663,14.0,0.0,inf
41669,0.0,0.0,
40602,14.0,0.0,inf
40604,14.0,0.0,inf
40621,14.0,0.0,inf
40410,14.0,0.0,inf
41052,14.0,0.0,inf
42061,14.0,0.0,inf
42063,14.0,0.0,inf
42762,14.0,0.0,inf
42364,14.0,0.0,inf
40122,14.0,0.0,inf
40159,14.0,0.0,inf
42702,14.0,0.0,inf
40818,14.0,0.0,inf
40820,0.0,0.0,
40824,10.0,0.0,inf
40829,14.0,0.0,inf
40830,14.0,0.0,inf
40847,12.0,0.0,inf
40863,3.0,0.0,inf
40927,9.0,0.0,inf
40964,14.0,0.0,inf
42402,14.0,0.0,inf
42419,14.0,0.0,inf
42457,14.0,0.0,inf
40007,14.0,0.0,inf
40036,8.0,0.0,inf
40434,14.0,0.0,inf
40481,13.0,0.0,inf
40018,14.0,0.0,inf
40027,14.0,0.0,inf
40041,0.0,0.0,
40201,14.0,0.0,inf
40221,14.0,0.0,inf
40231,14.0,0.0,inf
40232,14.0,0.0,inf
40233,14.0,0.0,inf
40250,14.0,0.0,inf
40251,14.0,0.0,inf
40252,14.0,0.0,inf
40253,14.0,0.0,inf
40255,14.0,0.0,inf
40256,14.0,0.0,inf
40257,14.0,0.0,inf
40259,14.0,0.0,inf
40261,14.0,0.0,inf
40266,14.0,0.0,inf
40268,14.0,0.0,inf
40269,14.0,0.0,inf
40270,14.0,0.0,inf
40281,14.0,0.0,inf
40282,14.0,0.0,inf
40283,14.0,0.0,inf
40285,14.0,0.0,inf
40289,14.0,0.0,inf
40292,14.0,0.0,inf
40339,14.0,0.0,inf
40340,14.0,0.0,inf
41160,14.0,0.0,inf
41234,14.0,0.0,inf
41263,0.0,0.0,
41271,0.0,0.0,
41274,0.0,0.0,
41012,14.0,0.0,inf
41053,14.0,0.0,inf
45999,14.0,0.0,inf
41743,14.0,0.0,inf
41759,7.0,0.0,inf
41772,0.0,0.0,
41804,0.0,0.0,
41817,14.0,0.0,inf
41861,13.0,0.0,inf
40946,14.0,0.0,inf
40982,0.0,0.0,
40995,14.0,0.0,inf
40997,3.0,0.0,inf
40724,14.0,0.0,inf
40737,0.0,0.0,
40750,14.0,0.0,inf
40755,14.0,0.0,inf
41201,10.0,0.0,inf
41347,14.0,0.0,inf
41368,14.0,0.0,inf
41397,14.0,0.0,inf
40803,14.0,0.0,inf
40816,14.0,0.0,inf
40844,3.0,0.0,inf
40868,0.0,0.0,
40874,0.0,0.0,
40979,14.0,0.0,inf
41762,14.0,0.0,inf
41766,14.0,0.0,inf
41775,14.0,0.0,inf
41517,13.0,0.0,inf
41812,14.0,0.0,inf
41819,0.0,0.0,
41832,14.0,0.0,inf
41833,10.0,0.0,inf
41838,14.0,0.0,inf
41845,12.0,0.0,inf
41848,14.0,0.0,inf
41849,14.0,0.0,inf
41135,12.0,0.0,inf
40448,14.0,0.0,inf
42002,14.0,0.0,inf
42631,14.0,0.0,inf
42638,14.0,0.0,inf
42322,14.0,0.0,inf
40405,14.0,0.0,inf
40476,14.0,0.0,inf
41426,14.0,0.0,inf
40049,14.0,0.0,inf
40063,0.0,0.0,
41062,14.0,0.0,inf
41096,14.0,0.0,inf
42124,14.0,0.0,inf
41413,14.0,0.0,inf
41421,0.0,0.0,
41451,14.0,0.0,inf
42332,0.0,0.0,
40048,14.0,0.0,inf
42338,14.0,0.0,inf
42370,14.0,0.0,inf
40032,14.0,0.0,inf
40355,14.0,0.0,inf
40363,14.0,0.0,inf
41351,14.0,0.0,inf
41386,14.0,0.0,inf
41367,0.0,0.0,
41712,0.0,0.0,
41713,14.0,0.0,inf
41729,14.0,0.0,inf
41735,11.0,0.0,inf
41736,14.0,0.0,inf
41739,14.0,0.0,inf
41760,14.0,0.0,inf
41778,14.0,0.0,inf
41502,14.0,0.0,inf
41520,14.0,0.0,inf
41524,11.0,0.0,inf
41526,12.0,0.0,inf
41534,12.0,0.0,inf
41542,14.0,0.0,inf
41547,0.0,0.0,
41549,14.0,0.0,inf
41560,0.0,0.0,
41561,14.0,0.0,inf
41567,4.0,0.0,inf
41571,13.0,0.0,inf
40376,14.0,0.0,inf
42502,14.0,0.0,inf
42558,14.0,0.0,inf
42564,14.0,0.0,inf
40473,14.0,0.0,inf
40492,14.0,0.0,inf
40317,14.0,0.0,inf
40319,14.0,0.0,inf
40066,14.0,0.0,inf
42758,12.0,0.0,inf
42216,14.0,0.0,inf
42221,14.0,0.0,inf
42280,0.0,0.0,
42460,14.0,0.0,inf
42102,8.0,0.0,inf
40061,14.0,0.0,inf
42444,14.0,0.0,inf
42463,8.0,0.0,inf
40730,14.0,0.0,inf
70537,0.0,0.0,
70651,0.0,0.0,
70654,0.0,0.0,
70718,14.0,0.0,inf
70728,14.0,0.0,inf
71320,14.0,0.0,inf
71329,14.0,0.0,inf
71339,14.0,0.0,inf
71024,0.0,0.0,
71080,14.0,0.0,inf
71113,14.0,0.0,inf
71137,14.0,0.0,inf
71171,14.0,0.0,inf
71172,14.0,0.0,inf
71009,14.0,0.0,inf
71102,14.0,0.0,inf
71133,14.0,0.0,inf
71134,14.0,0.0,inf
71135,14.0,0.0,inf
71136,14.0,0.0,inf
71138,14.0,0.0,inf
71148,14.0,0.0,inf
71149,14.0,0.0,inf
71161,14.0,0.0,inf
71162,14.0,0.0,inf
71163,14.0,0.0,inf
71164,14.0,0.0,inf
71165,14.0,0.0,inf
71166,14.0,0.0,inf
70602,14.0,0.0,inf
70606,14.0,0.0,inf
70612,14.0,0.0,inf
70616,14.0,0.0,inf
70629,14.0,0.0,inf
71415,14.0,0.0,inf
70643,0.0,0.0,
71363,14.0,0.0,inf
71048,14.0,0.0,inf
71079,13.0,0.0,inf
71316,14.0,0.0,inf
70704,14.0,0.0,inf
70801,68.0,6.0,11.333333333333334
70803,0.0,0.0,
70804,14.0,0.0,inf
70821,14.0,0.0,inf
70825,14.0,0.0,inf
70827,14.0,0.0,inf
70835,14.0,0.0,inf
70836,14.0,0.0,inf
70874,14.0,0.0,inf
70879,14.0,0.0,inf
70884,14.0,0.0,inf
70892,14.0,0.0,inf
70893,14.0,0.0,inf
70895,14.0,0.0,inf
70896,14.0,0.0,inf
70898,14.0,0.0,inf
70580,0.0,0.0,
71230,14.0,0.0,inf
71243,14.0,0.0,inf
71249,14.0,0.0,inf
71324,14.0,0.0,inf
71407,13.0,0.0,inf
70513,14.0,0.0,inf
70562,14.0,0.0,inf
70569,14.0,0.0,inf
70004,14.0,0.0,inf
70009,14.0,0.0,inf
70010,14.0,0.0,inf
70011,14.0,0.0,inf
70033,14.0,0.0,inf
70054,14.0,0.0,inf
70055,14.0,0.0,inf
70059,14.0,0.0,inf
70063,14.0,0.0,inf
70064,14.0,0.0,inf
70073,14.0,0.0,inf
70096,14.0,0.0,inf
70181,14.0,0.0,inf
70183,14.0,0.0,inf
70502,14.0,0.0,inf
70504,14.0,0.0,inf
70505,14.0,0.0,inf
70509,14.0,0.0,inf
70558,14.0,0.0,inf
70596,14.0,0.0,inf
70598,14.0,0.0,inf
70371,14.0,0.0,inf
71272,0.0,0.0,
71273,14.0,0.0,inf
70727,14.0,0.0,inf
70786,14.0,0.0,inf
71250,0.0,0.0,
71002,14.0,0.0,inf
71066,14.0,0.0,inf
71428,14.0,0.0,inf
71434,14.0,0.0,inf
71455,12.0,0.0,inf
71458,14.0,0.0,inf
71497,14.0,0.0,inf
70139,14.0,0.0,inf
70141,14.0,0.0,inf
70145,14.0,0.0,inf
70146,14.0,0.0,inf
70150,14.0,0.0,inf
70151,14.0,0.0,inf
70152,14.0,0.0,inf
70153,14.0,0.0,inf
70156,14.0,0.0,inf
70157,14.0,0.0,inf
70158,14.0,0.0,inf
70163,14.0,0.0,inf
70165,14.0,0.0,inf
70170,14.0,0.0,inf
70172,14.0,0.0,inf
70174,14.0,0.0,inf
70175,14.0,0.0,inf
70176,14.0,0.0,inf
70177,14.0,0.0,inf
70178,14.0,0.0,inf
70179,14.0,0.0,inf
70182,14.0,0.0,inf
70184,14.0,0.0,inf
70185,14.0,0.0,inf
70186,14.0,0.0,inf
70190,14.0,0.0,inf
71207,14.0,0.0,inf
71209,14.0,0.0,inf
71210,14.0,0.0,inf
71211,14.0,0.0,inf
71212,14.0,0.0,inf
71213,14.0,0.0,inf
71240,14.0,0.0,inf
71281,14.0,0.0,inf
71294,14.0,0.0,inf
70050,14.0,0.0,inf
70093,14.0,0.0,inf
70143,14.0,0.0,inf
71306,14.0,0.0,inf
71307,14.0,0.0,inf
71309,14.0,0.0,inf
71315,14.0,0.0,inf
71330,14.0,0.0,inf
71348,14.0,0.0,inf
71359,14.0,0.0,inf
71365,14.0,0.0,inf
71448,14.0,0.0,inf
71472,14.0,0.0,inf
71477,14.0,0.0,inf
71218,14.0,0.0,inf
71279,9.0,0.0,inf
71406,0.0,0.0,
71460,14.0,0.0,inf
70078,14.0,0.0,inf
70436,9.0,0.0,inf
70792,14.0,0.0,inf
70069,14.0,0.0,inf
70076,14.0,0.0,inf
70550,14.0,0.0,inf
70551,14.0,0.0,inf
70571,14.0,0.0,inf
71345,8.0,0.0,inf
70521,14.0,0.0,inf
70340,11.0,0.0,inf
70381,14.0,0.0,inf
70522,14.0,0.0,inf
70540,14.0,0.0,inf
70434,14.0,0.0,inf
70457,14.0,0.0,inf
70459,14.0,0.0,inf
70469,14.0,0.0,inf
70470,14.0,0.0,inf
70402,0.0,0.0,
70404,14.0,0.0,inf
70421,14.0,0.0,inf
70451,14.0,0.0,inf
70465,0.0,0.0,
70352,0.0,0.0,
70361,14.0,0.0,inf
70575,14.0,0.0,inf
71443,14.0,0.0,inf
71475,14.0,0.0,inf
71496,14.0,0.0,inf
71242,14.0,0.0,inf
70782,14.0,0.0,inf
70784,14.0,0.0,inf
70787,14.0,0.0,inf
71440,14.0,0.0,inf
71471,14.0,0.0,inf
71473,8.0,0.0,inf
4211,14.0,0.0,inf
4212,14.0,0.0,inf
4223,14.0,0.0,inf
4228,14.0,0.0,inf
4230,14.0,0.0,inf
4241,14.0,0.0,inf
4243,14.0,0.0,inf
4266,14.0,0.0,inf
4288,14.0,0.0,inf
4291,14.0,0.0,inf
4737,14.0,0.0,inf
4738,14.0,0.0,inf
4744,14.0,0.0,inf
4751,14.0,0.0,inf
4775,14.0,0.0,inf
4013,14.0,0.0,inf
4019,14.0,0.0,inf
4033,14.0,0.0,inf
4034,14.0,0.0,inf
4057,0.0,0.0,
4070,14.0,0.0,inf
4077,14.0,0.0,inf
4078,14.0,0.0,inf
4082,14.0,0.0,inf
4098,14.0,0.0,inf
4104,14.0,1.0,14.0
4109,0.0,0.0,
4112,14.0,0.0,inf
4116,14.0,0.0,inf
4122,14.0,1.0,14.0
4123,14.0,0.0,inf
4124,14.0,0.0,inf
4225,14.0,0.0,inf
4227,14.0,0.0,inf
4234,14.0,0.0,inf
4262,14.0,0.0,inf
4940,14.0,0.0,inf
4420,14.0,0.0,inf
4613,0.0,0.0,
4629,14.0,0.0,inf
4644,14.0,0.0,inf
4650,14.0,0.0,inf
4672,14.0,0.0,inf
4683,14.0,0.0,inf
4332,14.0,0.0,inf
4333,14.0,0.0,inf
4336,14.0,0.0,inf
4338,14.0,0.0,inf
4343,14.0,0.0,inf
4903,14.0,0.0,inf
4926,14.0,0.0,inf
4935,14.0,0.0,inf
4962,14.0,0.0,inf
4865,14.0,0.0,inf
4341,14.0,0.0,inf
4570,14.0,0.0,inf
4016,14.0,1.0,14.0
4267,13.0,0.0,inf
4271,14.0,0.0,inf
4286,14.0,0.0,inf
4402,14.0,0.0,inf
4469,0.0,1.0,0.0
4933,14.0,0.0,inf
4442,14.0,0.0,inf
4565,14.0,0.0,inf
4944,14.0,0.0,inf
4954,14.0,0.0,inf
4975,14.0,0.0,inf
4985,0.0,0.0,
4850,14.0,2.0,7.0
4972,14.0,0.0,inf
4454,14.0,0.0,inf
3804,14.0,0.0,inf
3911,14.0,0.0,inf
4004,14.0,0.0,inf
4014,14.0,0.0,inf
4028,14.0,0.0,inf
4054,14.0,1.0,14.0
4094,14.0,0.0,inf
21501,14.0,0.0,inf
21503,14.0,0.0,inf
21504,14.0,0.0,inf
21505,14.0,0.0,inf
21528,14.0,0.0,inf
21556,14.0,0.0,inf
21560,14.0,0.0,inf
20701,14.0,6.0,2.3333333333333335
21062,14.0,0.0,inf
21106,14.0,0.0,inf
21123,14.0,0.0,inf
21240,14.0,7.0,2.0
21404,14.0,0.0,inf
21411,14.0,0.0,inf
21412,14.0,0.0,inf
21020,14.0,0.0,inf
21022,14.0,0.0,inf
21023,14.0,0.0,inf
21027,14.0,0.0,inf
21031,14.0,5.0,2.8
21065,14.0,0.0,inf
21092,14.0,0.0,inf
21105,14.0,0.0,inf
21139,14.0,0.0,inf
21235,14.0,5.0,2.8
21241,14.0,0.0,inf
21250,0.0,3.0,0.0
21252,0.0,0.0,
21282,14.0,0.0,inf
21284,14.0,0.0,inf
21285,14.0,0.0,inf
20610,14.0,0.0,inf
21609,14.0,0.0,inf
21670,14.0,0.0,inf
21902,14.0,1.0,14.0
21916,14.0,0.0,inf
21922,14.0,0.0,inf
21930,0.0,0.0,
20604,14.0,0.0,inf
20643,14.0,0.0,inf
20661,14.0,0.0,inf
21627,13.0,0.0,inf
21705,14.0,0.0,inf
21717,14.0,0.0,inf
21759,14.0,0.0,inf
21775,14.0,0.0,inf
21018,14.0,0.0,inf
21130,12.0,0.0,inf
21041,14.0,0.0,inf
21150,14.0,0.0,inf
21765,14.0,0.0,inf
21650,14.0,0.0,inf
21690,14.0,0.0,inf
20058,14.0,0.0,inf
20207,14.0,0.0,inf
20810,14.0,0.0,inf
20811,14.0,0.0,inf
20824,14.0,0.0,inf
20825,14.0,0.0,inf
20827,14.0,0.0,inf
20830,14.0,0.0,inf
20839,14.0,0.0,inf
20847,14.0,0.0,inf
20848,14.0,0.0,inf
20849,14.0,0.0,inf
20857,14.0,0.0,inf
20859,14.0,0.0,inf
20875,14.0,0.0,inf
20883,14.0,0.0,inf
20884,14.0,0.0,inf
20885,14.0,0.0,inf
20889,14.0,4.0,3.5
20891,14.0,0.0,inf
20892,14.0,1.0,14.0
20894,14.0,0.0,inf
20898,14.0,0.0,inf
20899,0.0,1.0,0.0
20907,14.0,0.0,inf
20911,14.0,0.0,inf
20913,14.0,0.0,inf
20914,14.0,0.0,inf
20915,14.0,0.0,inf
20916,14.0,0.0,inf
20918,14.0,0.0,inf
20993,14.0,3.0,4.666666666666667
20233,14.0,0.0,inf
20389,14.0,0.0,inf
20395,14.0,0.0,inf
20409,14.0,0.0,inf
20588,14.0,0.0,inf
20599,14.0,0.0,inf
20703,14.0,0.0,inf
20704,14.0,0.0,inf
20709,14.0,0.0,inf
20717,14.0,0.0,inf
20718,14.0,0.0,inf
20725,14.0,0.0,inf
20726,14.0,0.0,inf
20731,14.0,0.0,inf
20738,14.0,0.0,inf
20741,14.0,0.0,inf
20742,0.0,4.0,0.0
20749,14.0,0.0,inf
20750,14.0,0.0,inf
20752,14.0,0.0,inf
20753,14.0,0.0,inf
20757,14.0,0.0,inf
20768,14.0,0.0,inf
20771,14.0,1.0,14.0
20773,14.0,0.0,inf
20775,14.0,0.0,inf
20787,14.0,0.0,inf
20790,14.0,0.0,inf
20791,14.0,0.0,inf
20792,14.0,0.0,inf
20799,14.0,0.0,inf
21644,14.0,0.0,inf
21656,14.0,0.0,inf
20627,14.0,0.0,inf
20635,14.0,0.0,inf
20656,14.0,0.0,inf
20660,14.0,0.0,inf
20686,0.0,2.0,0.0
21824,0.0,0.0,
21836,14.0,0.0,inf
21857,14.0,0.0,inf
21867,12.0,0.0,inf
21890,0.0,0.0,
21715,14.0,0.0,inf
21720,14.0,0.0,inf
21721,14.0,0.0,inf
21741,14.0,0.0,inf
21746,14.0,0.0,inf
21781,14.0,0.0,inf
21802,14.0,0.0,inf
21803,14.0,0.0,inf
21852,14.0,0.0,inf
21792,14.0,0.0,inf
21843,14.0,0.0,inf
21862,0.0,0.0,
21203,14.0,0.0,inf
21233,14.0,0.0,inf
21251,0.0,0.0,
21263,14.0,0.0,inf
21270,14.0,0.0,inf
21278,14.0,0.0,inf
21281,14.0,0.0,inf
21287,14.0,0.0,inf
21290,14.0,0.0,inf
2541,14.0,0.0,inf
2574,14.0,0.0,inf
2634,14.0,0.0,inf
2643,14.0,0.0,inf
2651,14.0,0.0,inf
2661,14.0,0.0,inf
2662,14.0,0.0,inf
2663,14.0,2.0,7.0
1202,14.0,0.0,inf
1227,14.0,0.0,inf
1252,14.0,0.0,inf
1263,14.0,0.0,inf
2334,14.0,1.0,14.0
2357,0.0,0.0,
2712,14.0,0.0,inf
2722,14.0,0.0,inf
2741,14.0,0.0,inf
2742,14.0,0.0,inf
2761,14.0,2.0,7.0
2768,14.0,0.0,inf
2552,14.0,0.0,inf
1812,14.0,0.0,inf
1831,14.0,0.0,inf
1842,14.0,0.0,inf
1885,14.0,0.0,inf
1899,14.0,0.0,inf
1903,14.0,0.0,inf
1910,14.0,0.0,inf
1931,14.0,0.0,inf
1936,14.0,0.0,inf
1937,0.0,0.0,
1961,14.0,0.0,inf
1965,14.0,0.0,inf
1971,14.0,0.0,inf
5501,14.0,0.0,inf
1302,14.0,0.0,inf
1380,14.0,0.0,inf
1014,14.0,0.0,inf
1021,14.0,0.0,inf
1041,14.0,0.0,inf
1090,14.0,0.0,inf
1101,14.0,0.0,inf
1111,14.0,0.0,inf
1115,14.0,1.0,14.0
1116,14.0,0.0,inf
1138,14.0,0.0,inf
1139,14.0,0.0,inf
1144,14.0,0.0,inf
1152,14.0,0.0,inf
1199,14.0,0.0,inf
1003,662004575.0,15.0,44133638.333333336
1004,14.0,0.0,inf
1059,14.0,0.0,inf
1061,14.0,0.0,inf
1063,0.0,0.0,
1066,14.0,0.0,inf
1472,14.0,0.0,inf
1703,14.0,0.0,inf
1704,14.0,0.0,inf
1784,14.0,0.0,inf
1805,14.0,0.0,inf
1822,14.0,0.0,inf
1853,14.0,0.0,inf
1865,14.0,0.0,inf
1866,14.0,0.0,inf
1888,14.0,0.0,inf
1889,14.0,0.0,inf
2238,14.0,0.0,inf
2454,14.0,0.0,inf
2455,14.0,0.0,inf
2471,14.0,0.0,inf
2477,14.0,0.0,inf
2564,0.0,0.0,
2584,14.0,0.0,inf
2027,14.0,0.0,inf
2070,14.0,0.0,inf
2185,14.0,0.0,inf
2269,14.0,0.0,inf
2447,14.0,0.0,inf
2018,14.0,0.0,inf
2020,14.0,0.0,inf
2041,14.0,0.0,inf
2044,14.0,0.0,inf
2047,54.0,0.0,inf
2051,14.0,0.0,inf
2059,14.0,0.0,inf
2060,14.0,0.0,inf
2065,14.0,0.0,inf
2303,14.0,0.0,inf
2304,14.0,0.0,inf
2305,14.0,0.0,inf
2325,14.0,0.0,inf
2327,14.0,0.0,inf
2331,14.0,0.0,inf
2337,14.0,0.0,inf
2344,14.0,0.0,inf
2345,14.0,0.0,inf
2348,14.0,0.0,inf
2349,14.0,0.0,inf
2350,14.0,0.0,inf
2355,14.0,0.0,inf
2358,14.0,0.0,inf
2361,14.0,0.0,inf
2362,14.0,0.0,inf
2366,14.0,0.0,inf
2381,14.0,0.0,inf
2112,14.0,0.0,inf
2117,14.0,0.0,inf
2123,14.0,0.0,inf
2133,14.0,0.0,inf
2137,14.0,0.0,inf
2196,14.0,0.0,inf
2201,14.0,0.0,inf
2203,14.0,0.0,inf
2205,14.0,0.0,inf
2217,14.0,0.0,inf
2222,14.0,0.0,inf
1074,14.0,0.0,inf
1441,14.0,0.0,inf
1508,14.0,0.0,inf
1509,14.0,0.0,inf
1526,14.0,0.0,inf
1538,14.0,0.0,inf
1546,14.0,0.0,inf
1561,0.0,0.0,
1586,14.0,0.0,inf
1601,14.0,0.0,inf
1613,14.0,0.0,inf
1614,14.0,0.0,inf
1653,14.0,0.0,inf
1655,14.0,3.0,4.666666666666667
49311,14.0,0.0,inf
49314,14.0,0.0,inf
49416,14.0,0.0,inf
49035,14.0,0.0,inf
48707,14.0,0.0,inf
49023,14.0,0.0,inf
49084,14.0,0.0,inf
49104,1539267717.0,0.0,inf
49016,14.0,0.0,inf
49020,14.0,0.0,inf
49761,14.0,0.0,inf
49792,14.0,0.0,inf
48633,14.0,0.0,inf
48833,14.0,0.0,inf
49877,13.0,0.0,inf
48908,14.0,0.0,inf
49764,4.0,0.0,inf
48411,14.0,0.0,inf
48480,14.0,0.0,inf
48501,14.0,0.0,inf
48531,14.0,0.0,inf
48550,14.0,0.0,inf
49610,14.0,2.0,7.0
49666,14.0,0.0,inf
49673,14.0,0.0,inf
48830,14.0,0.0,inf
48862,14.0,0.0,inf
49239,14.0,0.0,inf
49257,14.0,0.0,inf
49258,14.0,0.0,inf
49281,14.0,0.0,inf
49282,0.0,0.0,
49921,0.0,0.0,
48805,14.0,0.0,inf
48824,14.0,6.0,2.3333333333333335
48825,0.0,1.0,0.0
48901,14.0,0.0,inf
48909,14.0,0.0,inf
48919,14.0,0.0,inf
48924,14.0,0.0,inf
48937,14.0,0.0,inf
48951,14.0,0.0,inf
48956,14.0,0.0,inf
49964,14.0,0.0,inf
48859,14.0,0.0,inf
49204,14.0,0.0,inf
49003,14.0,0.0,inf
49005,14.0,0.0,inf
49019,14.0,0.0,inf
49074,13.0,0.0,inf
49077,14.0,0.0,inf
49317,14.0,0.0,inf
49351,14.0,0.0,inf
49468,14.0,0.0,inf
49510,14.0,0.0,inf
49514,14.0,0.0,inf
49515,14.0,0.0,inf
49516,14.0,0.0,inf
49518,14.0,0.0,inf
49530,14.0,0.0,inf
49560,14.0,0.0,inf
49588,14.0,0.0,inf
48139,0.0,0.0,
48844,14.0,0.0,inf
48046,14.0,0.0,inf
48090,14.0,0.0,inf
48311,14.0,0.0,inf
48318,14.0,0.0,inf
49865,14.0,0.0,inf
49845,14.0,0.0,inf
48620,14.0,0.0,inf
48641,14.0,0.0,inf
48667,14.0,0.0,inf
48670,14.0,0.0,inf
48674,14.0,0.0,inf
48812,14.0,0.0,inf
49443,14.0,0.0,inf
49413,14.0,0.0,inf
48012,14.0,0.0,inf
