ZIP,NUM_OF_EVS,NUM_OF_CHARGERS,EV_CHARGER_RATIO
46804,45.0,9.0,5.0
46805,5.0,1.0,5.0
46806,0.0,2.0,0.0
46808,0.0,3.0,0.0
46815,18.0,0.0,inf
46825,22.0,2.0,11.0
46835,31.0,0.0,inf
46845,54.0,5.0,10.8
47201,47.0,2.0,23.5
47203,35.0,0.0,inf
47274,7.0,0.0,inf
46952,1.0,0.0,inf
46953,5.0,0.0,inf
47303,13.0,0.0,inf
